Mountain,Height,latitude,longitude,Country,Total_Ascents (2013),Total_Deaths (2013),Death_to_Success rate (2013),Difficulty,Approximate_Costs ($USD),Duration_of_expedition (days)
Everest,8849,27.988,86.926,Nepal,5656,223,0.039,10,40000,60
K2,8611,35.881,76.513,Pakistan,306,81,0.265,10,16500,55
Kangchenjunga,8586,27.703,88.148,Nepal,283,40,0.141,10,24000,50
Lhotse,8516,27.962,86.933,Nepal,461,13,0.028,10,20000,57
Makalu,8485,27.89,87.088,Nepal,361,31,0.086,8.5,17500,50
Cho Oyu,8188,28.094,86.661,Nepal,3138,44,0.014,2,24500,45
Dhaulagiri I,8167,28.697,83.494,Nepal,448,69,0.154,9,16900,48
Manaslu,8163,28.55,84.561,Nepal,661,65,0.098,9,16500,42
Nanga Parbat,8125,35.238,74.59,Pakistan,335,68,0.203,10,12000,52
Annapurna I,8091,28.596,83.821,Nepal,191,61,0.319,10,17500,41
Gasherbrum I,8080,35.724,76.697,Pakistan,334,29,0.087,6,11500,50
Broad Peak,8051,35.811,76.568,Pakistan,404,21,0.052,5,12000,50
Gasherbrum II,8034,35.758,76.654,Pakistan,930,21,0.023,3,10500,50
Shishapangma,8027,28.353,85.779,China,302,25,0.083,5,25000,42
